0.100, -0.0930, 2.5356
0.200, -0.0860, 2.3508
0.300, -0.0790, 2.4599
0.400, -0.0720, 2.8620
0.500, -0.0650, 2.7709
0.600, -0.0580, 2.9175
0.700, -0.0510, 3.3270
0.800, -0.0440, 3.0946
0.900, -0.0370, 3.1564
1.000, -0.0300, 3.4106
1.100, -0.0230, 3.2743
1.200, -0.0160, 3.2586
1.300, -0.0090, 3.3994
1.400, -0.0020, 3.2457
1.500, 0.0050, 3.6962
1.600, 0.0120, 3.7566
1.700, 0.0190, 3.7786
1.800, 0.0260, 3.9879
1.900, 0.0330, 4.4951
2.000, 0.0400, 4.6116
2.100, 0.0470, 5.2903
2.200, 0.0540, 5.8957
2.300, 0.0610, 6.5732
2.400, 0.0680, 6.8246
2.500, 0.0750, 8.0774
2.600, 0.0820, 8.7664
2.700, 0.0890, 9.8983
2.800, 0.0960, 12.2063
2.900, 0.1030, 13.5701
3.000, 0.1100, 16.0987
3.100, 0.1170, 19.2767
3.200, 0.1240, 22.7180
3.300, 0.1310, 27.0623
3.400, 0.1380, 32.4451
3.500, 0.1450, 38.3411
3.600, 0.1520, 44.6852
3.700, 0.1590, 52.6489
3.800, 0.1660, 61.0826
3.900, 0.1730, 70.7096
4.000, 0.1800, 81.4752
4.100, 0.1870, 94.1415
4.200, 0.1940, 107.8080
4.300, 0.2010, 123.6006
4.400, 0.2080, 140.6022
4.500, 0.2150, 158.2521
4.600, 0.2220, 176.9719
4.700, 0.2290, 198.3238
4.800, 0.2360, 217.9104
4.900, 0.2430, 238.6154
5.000, 0.2500, 261.5698
5.100, 0.2570, 281.8904
5.200, 0.2640, 301.9965
5.300, 0.2710, 324.1658
5.400, 0.2780, 342.7979
5.500, 0.2850, 359.9093
5.600, 0.2920, 378.2138
5.700, 0.2990, 392.3473
5.800, 0.3060, 404.6423
5.900, 0.3130, 418.2727
6.000, 0.3200, 427.1537
6.100, 0.3270, 435.5908
6.200, 0.3340, 444.7686
6.300, 0.3410, 450.8126
6.400, 0.3480, 455.4884
6.500, 0.3550, 461.9948
6.600, 0.3620, 464.9493
